Customer No,Random Number IAT,Inter Arrival Time,Arrival Time,Random Number Service,Service Time,Service Start Time,Waiting Time,Departure Time,Time In System,Server Idle Time
1,0.8902,7.2311,7.2311,0.1307,1.6535,7.2311,0.0000,8.8846,1.6535,7.2311
2,0.0398,1.2783,8.5094,0.8264,5.1322,8.8846,0.3752,14.0168,5.5074,0.0000
3,0.5321,4.7245,13.2339,0.9563,5.7815,14.0168,0.7829,19.7983,6.5644,0.0000
4,0.4619,4.2335,17.4674,0.9237,5.6187,19.7983,2.3309,25.4170,7.9496,0.0000
5,0.3739,3.6174,21.0849,0.1550,1.7749,25.4170,4.3322,27.1919,6.1070,0.0000
6,0.8923,7.2464,28.3313,0.0268,1.1339,28.3313,0.0000,29.4652,1.1339,1.1394
7,0.2915,3.0405,31.3718,0.3987,2.9937,31.3718,0.0000,34.3655,2.9937,1.9066
8,0.8073,6.6510,38.0228,0.6271,4.1355,38.0228,0.0000,42.1583,4.1355,3.6573
9,0.9079,7.3555,45.3783,0.5564,3.7820,45.3783,0.0000,49.1603,3.7820,3.2200
10,0.8399,6.8794,52.2577,0.0505,1.2524,52.2577,0.0000,53.5102,1.2524,3.0974
11,0.8062,6.6436,58.9014,0.9308,5.6541,58.9014,0.0000,64.5555,5.6541,5.3912
12,0.3640,3.5482,62.4496,0.6909,4.4547,64.5555,2.1059,69.0102,6.5606,0.0000
13,0.1293,1.9052,64.3548,0.8327,5.1634,69.0102,4.6554,74.1736,9.8188,0.0000
14,0.3184,3.2285,67.5833,0.7372,4.6860,74.1736,6.5904,78.8596,11.2764,0.0000
15,0.5968,5.1774,72.7606,0.3637,2.8185,78.8596,6.0990,81.6782,8.9175,0.0000
16,0.7950,6.5648,79.3254,0.6985,4.4924,81.6782,2.3527,86.1706,6.8451,0.0000
17,0.8219,6.7532,86.0786,0.8995,5.4973,86.1706,0.0920,91.6679,5.5893,0.0000
18,0.8319,6.8233,92.9019,0.9100,5.5498,92.9019,0.0000,98.4517,5.5498,1.2340
19,0.9749,7.8244,100.7263,0.6561,4.2806,100.7263,0.0000,105.0069,4.2806,2.2746
20,0.8120,6.6839,107.4102,0.1027,1.5137,107.4102,0.0000,108.9239,1.5137,2.4033
21,0.2375,2.6627,110.0729,0.3793,2.8967,110.0729,0.0000,112.9696,2.8967,1.1490
22,0.6992,5.8947,115.9676,0.4849,3.4247,115.9676,0.0000,119.3923,3.4247,2.9979
23,0.4152,3.9066,119.8741,0.6387,4.1933,119.8741,0.0000,124.0674,4.1933,0.4818
24,0.7593,6.3150,126.1891,0.5575,3.7876,126.1891,0.0000,129.9768,3.7876,2.1217
25,0.6935,5.8542,132.0433,0.9133,5.5663,132.0433,0.0000,137.6096,5.5663,2.0666
26,0.0246,1.1723,133.2156,0.8374,5.1869,137.6096,4.3940,142.7965,9.5809,0.0000
27,0.3832,3.6824,136.8981,0.2988,2.4939,142.7965,5.8985,145.2904,8.3923,0.0000
28,0.0063,1.0441,137.9421,0.4376,3.1878,145.2904,7.3482,148.4782,10.5360,0.0000
29,0.7379,6.1656,144.1077,0.3758,2.8788,148.4782,4.3705,151.3570,7.2493,0.0000
30,0.4932,4.4527,148.5604,0.0140,1.0702,151.3570,2.7965,152.4272,3.8667,0.0000
31,0.2494,2.7461,151.3065,0.3471,2.7357,152.4272,1.1207,155.1628,3.8563,0.0000
32,0.7967,6.5768,157.8833,0.9384,5.6920,157.8833,0.0000,163.5753,5.6920,2.7205
33,0.1005,1.7037,159.5870,0.7354,4.6770,163.5753,3.9883,168.2523,8.6654,0.0000
34,0.9764,7.8351,167.4220,0.7059,4.5294,168.2523,0.8303,172.7818,5.3597,0.0000
35,0.9518,7.6624,175.0844,0.9278,5.6392,175.0844,0.0000,180.7236,5.6392,2.3026
36,0.4100,3.8702,178.9546,0.3381,2.6905,180.7236,1.7690,183.4141,4.4595,0.0000
37,0.7691,6.3838,185.3384,0.3346,2.6732,185.3384,0.0000,188.0116,2.6732,1.9243
38,0.0827,1.5788,186.9172,0.8986,5.4928,188.0116,1.0944,193.5044,6.5872,0.0000
39,0.7873,6.5113,193.4285,0.7175,4.5873,193.5044,0.0759,198.0917,4.6632,0.0000
40,0.4440,4.1079,197.5364,0.7509,4.7545,198.0917,0.5553,202.8462,5.3097,0.0000
41,0.6579,5.6053,203.1417,0.3607,2.8035,203.1417,0.0000,205.9452,2.8035,0.2955
42,0.3783,3.6483,206.7900,0.6496,4.2482,206.7900,0.0000,211.0381,4.2482,0.8448
43,0.0556,1.3895,208.1794,0.0783,1.3913,211.0381,2.8587,212.4294,4.2500,0.0000
44,0.0919,1.6433,209.8228,0.8051,5.0255,212.4294,2.6067,217.4550,7.6322,0.0000
45,0.0653,1.4572,211.2799,0.2243,2.1216,217.4550,6.1751,219.5766,8.2966,0.0000
46,0.1521,2.0649,213.3448,0.6806,4.4030,219.5766,6.2317,223.9795,10.6347,0.0000
47,0.1260,1.8817,215.2266,0.2574,2.2868,223.9795,8.7530,226.2663,11.0398,0.0000
48,0.4380,4.0658,219.2923,0.1097,1.5483,226.2663,6.9740,227.8146,8.5223,0.0000
49,0.3146,3.2020,222.4943,0.3507,2.7537,227.8146,5.3204,230.5683,8.0740,0.0000
50,0.7611,6.3280,228.8223,0.0989,1.4943,230.5683,1.7460,232.0626,3.2403,0.0000
51,0.9315,7.5202,236.3425,0.3261,2.6304,236.3425,0.0000,238.9729,2.6304,4.2800
52,0.4266,3.9864,240.3290,0.2707,2.3534,240.3290,0.0000,242.6824,2.3534,1.3561
53,0.7881,6.5168,246.8457,0.4533,3.2666,246.8457,0.0000,250.1124,3.2666,4.1634
54,0.0832,1.5827,248.4284,0.0704,1.3519,250.1124,1.6840,251.4642,3.0359,0.0000
55,0.3297,3.3082,251.7366,0.1921,1.9605,251.7366,0.0000,253.6972,1.9605,0.2724
56,0.8379,6.8651,258.6017,0.0617,1.3084,258.6017,0.0000,259.9101,1.3084,4.9045
57,0.5542,4.8796,263.4813,0.5706,3.8531,263.4813,0.0000,267.3344,3.8531,3.5712
58,0.4621,4.2348,267.7161,0.9488,5.7441,267.7161,0.0000,273.4602,5.7441,0.3817
59,0.3448,3.4134,271.1295,0.8844,5.4222,273.4602,2.3307,278.8825,7.7530,0.0000
60,0.4310,4.0173,275.1468,0.9945,5.9724,278.8825,3.7357,284.8549,9.7081,0.0000
61,0.8005,6.6035,281.7503,0.9416,5.7082,284.8549,3.1046,290.5631,8.8127,0.0000
62,0.3795,3.6564,285.4067,0.4054,3.0271,290.5631,5.1564,293.5902,8.1835,0.0000
63,0.2869,3.0082,288.4149,0.4505,3.2527,293.5902,5.1753,296.8429,8.4280,0.0000
64,0.7651,6.3558,294.7707,0.5799,3.8995,296.8429,2.0722,300.7423,5.9717,0.0000
65,0.3781,3.6469,298.4175,0.6224,4.1120,300.7423,2.3248,304.8543,6.4368,0.0000
66,0.7392,6.1742,304.5917,0.9134,5.5669,304.8543,0.2626,310.4212,5.8295,0.0000
67,0.5321,4.7247,309.3165,0.5178,3.5891,310.4212,1.1048,314.0103,4.6939,0.0000
68,0.1026,1.7181,311.0346,0.1217,1.6083,314.0103,2.9758,315.6187,4.5841,0.0000
69,0.6437,5.5059,316.5405,0.4460,3.2298,316.5405,0.0000,319.7703,3.2298,0.9218
70,0.0763,1.5343,318.0747,0.1526,1.7628,319.7703,1.6955,321.5331,3.4584,0.0000
71,0.0795,1.5566,319.6313,0.8794,5.3969,321.5331,1.9018,326.9300,7.2987,0.0000
72,0.1615,2.1303,321.7616,0.9230,5.6148,326.9300,5.1684,332.5447,10.7831,0.0000
73,0.0036,1.0251,322.7867,0.8026,5.0130,332.5447,9.7581,337.5577,14.7711,0.0000
74,0.3035,3.1247,325.9114,0.2448,2.2238,337.5577,11.6464,339.7815,13.8701,0.0000
75,0.7682,6.3775,332.2889,0.7035,4.5174,339.7815,7.4926,344.2989,12.0101,0.0000
76,0.8862,7.2032,339.4921,0.9131,5.5657,344.2989,4.8068,349.8646,10.3725,0.0000
77,0.2253,2.5772,342.0693,0.4215,3.1074,349.8646,7.7954,352.9720,10.9028,0.0000
78,0.1659,2.1610,344.2303,0.2108,2.0542,352.9720,8.7417,355.0262,10.7959,0.0000
79,0.8399,6.8793,351.1096,0.9155,5.5773,355.0262,3.9166,360.6035,9.4939,0.0000
80,0.6816,5.7711,356.8807,0.4093,3.0463,360.6035,3.7227,363.6498,6.7690,0.0000
81,0.2221,2.5549,359.4356,0.8353,5.1765,363.6498,4.2141,368.8263,9.3906,0.0000
82,0.7767,6.4372,365.8728,0.7373,4.6867,368.8263,2.9535,373.5130,7.6402,0.0000
83,0.8587,7.0109,372.8837,0.9725,5.8626,373.5130,0.6293,379.3755,6.4918,0.0000
84,0.4100,3.8697,376.7534,0.5970,3.9851,379.3755,2.6221,383.3606,6.6072,0.0000
85,0.7384,6.1691,382.9225,0.2667,2.3335,383.3606,0.4381,385.6942,2.7716,0.0000
86,0.7631,6.3419,389.2645,0.9305,5.6525,389.2645,0.0000,394.9170,5.6525,3.5703
87,0.8747,7.1228,396.3873,0.1162,1.5808,396.3873,0.0000,397.9681,1.5808,1.4703
88,0.9673,7.7710,404.1583,0.3030,2.5149,404.1583,0.0000,406.6732,2.5149,6.1902
89,0.6090,5.2631,409.4214,0.1678,1.8388,409.4214,0.0000,411.2602,1.8388,2.7482
90,0.8584,7.0090,416.4304,0.7264,4.6320,416.4304,0.0000,421.0623,4.6320,5.1702
91,0.0651,1.4558,417.8862,0.5181,3.5905,421.0623,3.1761,424.6528,6.7666,0.0000
92,0.5955,5.1684,423.0546,0.4579,3.2896,424.6528,1.5982,427.9425,4.8878,0.0000
93,0.5922,5.1457,428.2003,0.3195,2.5973,428.2003,0.0000,430.7976,2.5973,0.2579
94,0.8198,6.7388,434.9391,0.0927,1.4637,434.9391,0.0000,436.4028,1.4637,4.1415
95,0.1769,2.2381,437.1772,0.2207,2.1036,437.1772,0.0000,439.2808,2.1036,0.7744
96,0.4741,4.3187,441.4959,0.9175,5.5873,441.4959,0.0000,447.0831,5.5873,2.2151
97,0.9915,7.9408,449.4366,0.6042,4.0211,449.4366,0.0000,453.4577,4.0211,2.3535
98,0.9206,7.4439,456.8805,0.3666,2.8332,456.8805,0.0000,459.7137,2.8332,3.4228
99,0.0078,1.0546,457.9351,0.6550,4.2751,459.7137,1.7786,463.9888,6.0536,0.0000
100,0.1681,2.1764,460.1115,0.4965,3.4823,463.9888,3.8773,467.4711,7.3596,0.0000
